tool,Mod,lot,Lot_Start,Lot_End,date,time,step_time,step_duration,stage,recipe,recipe_step,runnum,s_3001_Phi1,s_1001_V1,s_2001_I1,s_4001_Temp
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:54",650,84,"ACST_PL","10MIN","2","14640388",9.038,0.919,0.549,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:54",650,84,"ACST_PL","10MIN","2","14640388",9.038,,,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:54",650,84,"ACST_PL","10MIN","2","14640388",9.038,,,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:54",650,84,"ACST_PL","10MIN","2","14640388",,,0.549,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:54",650,84,"ACST_PL","10MIN","2","14640388",,,0.549,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:54",650,84,"ACST_PL","10MIN","2","14640388",,,0.549,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:54",650,84,"ACST_PL","10MIN","2","14640388",,0.919,,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:54",650,84,"ACST_PL","10MIN","2","14640388",,0.919,,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:54",650,84,"ACST_PL","10MIN","2","14640388",,0.919,,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:56",650,86,"ACST_PL","10MIN","2","14640388",29.852,11.78,11.123,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:56",650,86,"ACST_PL","10MIN","2","14640388",29.852,,,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:56",650,86,"ACST_PL","10MIN","2","14640388",29.852,,,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:56",650,86,"ACST_PL","10MIN","2","14640388",,,11.123,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:56",650,86,"ACST_PL","10MIN","2","14640388",,,11.123,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:56",650,86,"ACST_PL","10MIN","2","14640388",,,11.123,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:56",650,86,"ACST_PL","10MIN","2","14640388",,11.78,,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:56",650,86,"ACST_PL","10MIN","2","14640388",,11.78,,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:56",650,86,"ACST_PL","10MIN","2","14640388",,11.78,,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:58",650,88,"ACST_PL","10MIN","2","14640388",33.225,12.049,11.204,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:58",650,88,"ACST_PL","10MIN","2","14640388",33.225,,,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:58",650,88,"ACST_PL","10MIN","2","14640388",33.225,,,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:58",650,88,"ACST_PL","10MIN","2","14640388",,,11.204,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:58",650,88,"ACST_PL","10MIN","2","14640388",,,11.204,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:58",650,88,"ACST_PL","10MIN","2","14640388",,,11.204,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:58",650,88,"ACST_PL","10MIN","2","14640388",,12.049,,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:58",650,88,"ACST_PL","10MIN","2","14640388",,12.049,,
"MPA_52","M02","JCSBM",17/06/2017 23:54:15.637,18/06/2017 00:04:12.634,"06/17/17","23:54:58",650,88,"ACST_PL","10MIN","2","14640388",,12.049,,
